sentence,Unigram,Bigram,Trigram,Quadrigram,Unigram_Add1,Bigram_Add1,Trigram_Add1,Quadrigram_Add1,Unigram_AddK,Bigram_AddK,Trigram_AddK,Quadrigram_AddK,Unigram_AddToken,Bigram_AddToken,Trigram_AddToken,Quadrigram_AddToken
रालोसपा के प्रदेश अध्यक्ष भूदेव चौधरी के पाला बदलकर राजद में सोमवार को शामिल होने के बारे में पूछे जाने पर कुशवाहा ने कहा कि मैंने दूसरे किनारे तक पहुंचने के इरादे से समुद्र में अपनी नाव डाली है पर बीच में छोड़कर जो जाना चाहते हैं तो उनका स्वागत है।,-371.22464169349945,-239.75523512079832,-105.53555207480503,-54.829385657049436,-372.39000558442075,-431.5615495186426,-514.4376690425624,-552.1246321560249,-371.8077945987665,-406.53275939550844,-488.8869215547233,-529.4566932583857,-590.9134907191313,-600.1767567903383,-600.6137847475201,-600.657336566894
नए नियम के फायदे,-34.191737848752524,-25.064741339428874,-16.956102483104615,-12.84113863367978,-34.33464969886771,-43.445463962007466,-48.45402295187648,-49.95755178437709,-34.26380846844442,-41.0223384109209,-46.06260588111371,-47.796109951572994,-56.118647686191224,-57.75407833562061,-57.75464461527591,-57.75471198344141
अगर राहुल कंवल सवालों का जवाब हमें देते हैं तो इस खबर को उनके पक्ष के साथ अपडेट किया जाएगा।,-147.84392767660228,-91.29277144326318,-53.3510913752713,-22.86560411276881,-148.35456095927657,-166.55378295085475,-207.68004735549445,-221.43042511959925,-148.0996646196018,-155.6154062706225,-197.5776488030263,-212.67668128284805,-239.51886200864269,-242.4692684943439,-242.56190881848727,-242.5679178676929
शशांक की दो महीने पहले ही शादी हुई है।,-65.33056299880127,-40.87741272470281,-30.94591228745992,-17.42099101168358,-65.58154507008595,-72.99909864040568,-98.26266360590134,-108.22345162780613,-65.4568011425905,-67.74052213618542,-93.55913382437608,-104.30845786153739,-113.5583605363551,-115.19348538164257,-115.50526786094653,-115.5111522656125
किंतु मामले में कुछ नहीं हुआ।,-44.7763741835883,-27.317377253703437,-22.218029367975944,-15.849293427232329,-44.983329464554295,-49.30282818152175,-64.63608620427335,-71.46000351257577,-44.88071529986716,-45.71055046653972,-60.78332933459873,-68.21208600193273,-79.1502073268196,-80.83128171602144,-80.85658959647799,-80.85755162278062
अमेरी रोड स्थित सेन्टफ्रांसिस स्कूल के केजी में पढ़ने वाले बच्चों के अभिभावकों ने आज कलेक्टर कार्यालय पुहंचकर प्रबंधन पर फीस के नाम पर मनमानी वसूली करने का आरोप लगाया है।,-247.71899542534084,-135.63759182105036,-61.311738940001476,-26.19429679871254,-246.94417419011396,-272.06154138999824,-319.5438532312591,-335.10243166059126,-247.207074136835,-256.4941664055601,-304.1518381411833,-320.98173285122823,-364.06746419021994,-369.2902371377923,-369.6281945498923,-369.6343458798399
: रोज एक ग्लास दूध में थोड़ी हल्दी मिलाकर पीएं।,-93.57024561568869,-56.93680737435936,-21.078617922293407,-12.553456561227998,-93.62138510328863,-110.82635833976268,-117.54119757483303,-117.94632582247183,-93.59078813592384,-105.8263815286916,-113.16808692517426,-113.67823887069845,-125.35808526575504,-127.06175041147908,-127.06210545997627,-127.06211508178966
वीडियो के साथ मजेदार कैप्शन भी लिखा गया है।,-65.48988121605564,-39.382165987315496,-24.4637708710182,-14.904831818391477,-65.76883543230083,-71.51939127200146,-91.92945618336837,-101.20491504407329,-65.63053651739878,-66.6639494124158,-86.7356451601972,-96.5864148891123,-113.18203195615439,-115.11170680565495,-115.4822835726705,-115.51017084713398
इससे दिन में ठंड और बढ़ सकती है।,-55.95962532730785,-38.092614907467365,-25.324209882951095,-11.860309380668054,-56.23671536627731,-64.63988170026082,-84.33155514933956,-90.01419147557209,-56.09930604044266,-60.12235968627421,-80.14186420160682,-86.10197148396387,-101.7776724595869,-103.63642585421482,-103.94427853994587,-103.94995076654058
सुग्गन पर भी फायर किया गया।,-48.49965136656928,-32.93917689823268,-19.54193502196664,-11.860309380668053,-48.53174540427523,-56.830046332923935,-70.29319860127431,-76.46009762260789,-48.51242836085545,-53.84727837324488,-67.53389389834649,-73.97187378498603,-79.37134960976718,-80.80770403657816,-80.84855683557262,-80.85782110507877
ऐसा ही एक वाकया शहर में उस समय सामने आया जब गोंदिया के एक युवक को एक ‘ मनोरोगी ’ ने अपने साथी के साथ मिलकर मोटर साइकिल पर लिफ्ट दी और उसे लूट लिया।,-260.13006778583355,-158.70973752824415,-86.37440569449352,-32.19516189788852,-260.8002832692792,-293.55701278521383,-361.59237201651746,-378.722796591583,-260.46139810399643,-275.31732286142955,-343.9637864636178,-363.0745482380077,-410.4560371246629,-415.7204361366801,-415.83516015381286,-415.8373045420139
निर्वाचन आयोग भोपाल ने मतदाताओं को डुप्लीकेट कार्ड समय सीमा में जारी नहीं होने के संबंध में निर्देशित किया है कि चालान के साथ 25 रुपए की रसीद कटवाकर कार्ड मतदाताओं को जारी किए जाएं।,-260.61223722951206,-160.7943528788354,-87.81435081531482,-36.057414124722776,-261.29727742548016,-297.67781615553594,-363.8422326089957,-384.91681387657906,-260.9480453813152,-279.851974174741,-346.252529806102,-369.45258004238906,-409.37508047588614,-415.654282567889,-415.83505542194695,-415.8399581826568
"फिर 1 दिन - 1 किलो चिकन स्तन , अगले 2 दिन - 2 लीटर केफिर ( 1 % ) प्रति दिन।",-184.59813486232957,-115.21036756472837,-47.674918873277626,-13.246603741787943,-184.7938188445736,-216.27818784879128,-244.85216975800026,-245.65799231474108,-184.68582913443734,-204.60165798701877,-235.49317547029884,-236.5046180224706,-263.6663693090492,-265.66786515536035,-265.67301778999746,-265.6730369909151
उनके इस ट्वीट को देखने के बाद कई यूजर्स उनकी तारीफ़ कर रहे हैं तो कई यूजर्स उन्हें भला बुरा कह रहे हैं।,-170.0472992276797,-97.83877042068421,-46.70628520136632,-30.082092439778926,-170.60952244997927,-184.72017722384842,-222.46914944844525,-244.80013497397576,-170.32841434502993,-171.96432120987924,-210.0192040874206,-233.6701676524114,-274.1279591273376,-276.9709796148105,-277.1938604677268,-277.22236687545643
ऐसा लगता है कि मुझे इस देश में इस तरह काम नहीं करना चाहिए।,-91.85291517726985,-53.62441546809438,-44.65233521384486,-28.19040536086281,-92.32463968885382,-96.45668267750932,-131.83993501280236,-149.3894644611622,-92.09067858772707,-87.9596521238932,-123.25635671173796,-142.24235103284803,-170.63651675970914,-173.14818113866033,-173.25960135327534,-173.263726573731
"हमले में मारा गया पहलू खान डेयरी किसान था , जो भैंस खरीदने के लिए गांव जयसिंहपुर से राजस्थान के जयपुर आया था।",-177.54106482337914,-115.12935336421165,-46.56322753498605,-25.54389639558178,-177.9221443350406,-207.52824898076395,-243.15277649111778,-257.3096726944668,-177.72412041357404,-196.67092230239908,-231.9562239463762,-247.4434108546043,-272.85290825402785,-277.00190278984627,-277.2246723009075,-277.22656615271416
- खेल विभाग ने शुरू की मानदेय प्रशिक्षकों की तैनाती की प्रक्रिया,-89.87101661601095,-66.81884389995724,-36.41766729870419,-17.45873133966643,-90.12479727104663,-112.19191655117277,-131.55196856421327,-135.89465054730854,-89.99770081328569,-106.37893490588093,-125.95804384850967,-130.80095606057577,-147.15734925017165,-150.14781814079586,-150.15540720630455,-150.15576321998594
"इंडियन मिरर , हिंदू और ट्रिब्यून के संपादक थे।",-77.13518919919012,-51.214966399482826,-20.806684206809773,-11.860309380668053,-77.19780231157165,-93.71781012593577,-105.96673309214643,-106.37186133839592,-77.1643510360361,-89.48727255294746,-101.98687835798762,-102.4970302979559,-113.05660458318978,-115.47952838020454,-115.51077696826813,-115.51078659008154
कामदेव ’ को हिंदू देवी श्री के पुत्र और कृष्ण के पुत्र प्रद्युम्न का अवतार माना गया है।,-138.13299704936333,-96.9415943968855,-36.47984145416601,-14.632898102907834,-138.4244800900353,-168.7951537622351,-195.31278188361551,-204.40482944153584,-138.27445051470693,-160.25425888361087,-187.07365451881637,-196.78779585668755,-215.57015025973087,-219.13606455445415,-219.44317122050538,-219.47103987752507
शुरु होगा लाइट शो,-39.531526408877,-32.487436081821045,-12.553456561227998,-11.860309380668053,-39.67404490868011,-53.38084916410346,-54.45645705582729,-54.45644743077135,-39.60340657057117,-51.41799451901562,-52.73037326941858,-52.73035401958461,-56.87435271867513,-57.75554922288373,-57.75557787524186,-57.75557787514922
"भारतीय रुपये के हिसाब से इंडोनेशिया में इस फोन की कीमत लगभग 15 , 800 रुपये है।",-117.90438184706518,-80.21883104888396,-48.46984666285028,-24.816287540576777,-118.42927453262173,-139.03617728721704,-176.97442107955067,-189.80684190450896,-118.16901394157149,-129.95676912918685,-168.1062756537889,-182.37416707334722,-203.6906507491784,-207.59837322742013,-207.91511651891457,-207.91689625853456
"टीवी पर भी एजुकेशन से जुड़े कई प्रोग्राम आ रहे हैं , लेकिन ज्यादातर बच्चे इसका भी फायदा नहीं उठा पा रहे . स्टडी में शामिल कुल परिवारों में से लगभग 52 प्रतिशत के पास घर पर टीवी सेट था . हालांकि केवल 11 प्रतिशत बच्चों ने ही टीवी पर पढ़ाई से जुड़ा प्रोग्राम देख पाने की बात कही . यानी घर पर टीवी या स्मार्ट फोन होना भी इस बात की गारंटी नहीं कि स्कूली बच्चों को उसके इस्तेमाल की इजाजत मिल सके . इससे पता चलता है कि गैजेट का होना इस बात को सुनिश्चित नहीं करता कि बच्चे पढ़ाई से जुड़े प्रोग्राम के लिए उसका इस्तेमाल भी कर सकेंगे .",-805.6456266540126,-547.6611046935665,-269.86973057072834,-68.7217811543649,-808.8787093920643,-955.558442122876,-1170.7700366037054,-1217.6354977988965,-807.2733935319687,-897.2564618669402,-1117.6590631991535,-1169.0846187139036,-1301.4561917810258,-1316.3443209372465,-1316.8123913908569,-1316.825558026009
